timestamp,open,high,low,close,tick_volume,volume,spread,symbol,timeframe
2022.01.03 00:00:00,1828.67,1831.58,1798.20,1800.93,2901498,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 01:00:00,1830.63,1831.82,1828.03,1828.49,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 02:00:00,1828.47,1831.00,1827.00,1830.23,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 03:00:00,1830.16,1831.56,1827.60,1828.89,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 04:00:00,1828.86,1828.96,1825.71,1826.21,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 05:00:00,1826.22,1826.86,1824.14,1825.62,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 06:00:00,1825.64,1825.89,1824.55,1825.09,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 07:00:00,1825.10,1825.70,1823.72,1825.45,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 08:00:00,1825.44,1825.73,1823.61,1825.17,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 09:00:00,1825.19,1825.29,1820.93,1824.27,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 10:00:00,1824.27,1824.38,1821.34,1822.82,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 11:00:00,1822.83,1826.69,1822.41,1826.33,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 12:00:00,1826.33,1827.45,1825.47,1826.37,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 13:00:00,1826.42,1827.12,1822.34,1823.00,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 14:00:00,1823.00,1823.32,1821.38,1821.82,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 15:00:00,1821.83,1822.07,1805.71,1807.17,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 16:00:00,1807.13,1811.04,1802.84,1802.94,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 17:00:00,1802.94,1806.75,1799.79,1801.97,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 18:00:00,1801.93,1801.98,1798.32,1800.73,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 19:00:00,1800.74,1800.97,1798.81,1799.69,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 20:00:00,1799.65,1802.28,1799.12,1801.70,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 21:00:00,1801.72,1803.00,1801.07,1801.72,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 22:00:00,1801.73,1804.53,1801.19,1801.68,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.03 23:00:00,1801.73,1802.17,1800.98,1801.20,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 00:00:00,1800.73,1816.58,1798.34,1814.09,3745939,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 01:00:00,1802.46,1804.27,1802.21,1804.13,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 02:00:00,1804.13,1804.82,1802.92,1804.40,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 03:00:00,1804.34,1806.88,1803.15,1805.13,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 04:00:00,1805.11,1807.01,1804.60,1805.39,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 05:00:00,1805.36,1806.11,1803.83,1804.15,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 06:00:00,1804.16,1804.22,1803.16,1803.38,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 07:00:00,1803.40,1805.52,1803.12,1805.42,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 08:00:00,1805.43,1806.04,1803.35,1803.47,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 09:00:00,1803.49,1807.35,1803.15,1805.75,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 10:00:00,1805.77,1806.82,1803.33,1804.01,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 11:00:00,1804.04,1806.72,1801.95,1805.70,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 12:00:00,1805.70,1808.56,1805.32,1805.67,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 13:00:00,1805.67,1805.67,1802.41,1804.11,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 14:00:00,1804.14,1805.07,1798.51,1801.24,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 15:00:00,1801.24,1807.28,1799.72,1807.14,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 16:00:00,1807.14,1810.84,1806.35,1810.15,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 17:00:00,1811.37,1816.74,1807.57,1814.59,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 18:00:00,1814.59,1815.60,1811.67,1812.59,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 19:00:00,1812.61,1815.13,1811.84,1813.57,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 20:00:00,1813.60,1815.18,1813.46,1815.08,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 21:00:00,1815.08,1815.27,1813.70,1814.57,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 22:00:00,1814.54,1815.35,1813.45,1815.16,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.04 23:00:00,1815.15,1815.36,1814.07,1814.36,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.05 00:00:00,1813.72,1829.48,1808.15,1809.19,2738514,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.05 01:00:00,1813.84,1813.99,1813.06,1813.92,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.05 02:00:00,1813.95,1814.66,1812.76,1812.94,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.05 03:00:00,1812.94,1815.44,1812.69,1815.25,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.05 04:00:00,1815.29,1816.25,1814.11,1815.65,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.05 05:00:00,1815.67,1816.61,1814.44,1815.42,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.05 06:00:00,1815.41,1815.43,1814.62,1814.99,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.05 07:00:00,1814.97,1816.22,1814.21,1815.81,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.05 08:00:00,1815.77,1817.07,1812.68,1813.09,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.05 09:00:00,1813.12,1815.78,1812.49,1813.51,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.05 10:00:00,1813.51,1817.69,1813.38,1816.85,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.05 11:00:00,1816.85,1820.23,1816.29,1817.79,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.05 12:00:00,1817.75,1820.06,1817.73,1818.43,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.05 13:00:00,1818.44,1820.77,1817.82,1818.67,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.05 14:00:00,1818.69,1819.25,1817.04,1817.95,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.05 15:00:00,1817.91,1827.89,1815.02,1825.54,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.05 16:00:00,1825.54,1829.60,1825.08,1825.85,0,0,0.00,XAUUSD.vx,PERIOD_H1
2022.01.05 17:00:00,1825.85,1826.66,1820.43,1823.36,0,0,0.00,XAUUSD.vx,PERIOD_H1
